bin,conf_low,conf_high,count,accuracy,confidence,gap
2,0.2,0.30000000000000004,6,0.16666666666666666,0.270489469196111,0.10382280252944434
3,0.30000000000000004,0.4,35,0.42857142857142855,0.35768382734161325,0.0708876012298153
4,0.4,0.5,33,0.48484848484848486,0.44408870535463696,0.0407597794938479
5,0.5,0.6000000000000001,40,0.55,0.5566236180630446,0.006623618063044567
6,0.6000000000000001,0.7000000000000001,25,0.68,0.6511383371504427,0.02886166284955738
7,0.7000000000000001,0.8,16,0.6875,0.7396148729891605,0.05211487298916051
8,0.8,0.9,13,0.6923076923076923,0.8481319153806446,0.1558242230729523
9,0.9,1.0,6,1.0,0.9284972584235346,0.07150274157646541
