model,accuracy,balanced_accuracy,macro_f1,nll,ece,mean_confidence,mean_uncertainty,feature_dim
Text only,0.41379310344827586,0.3770363032431017,0.3757765530194055,3.2994016879594144,0.4171490573987808,0.8259808705929298,0.237517519436705,384
Audio only,0.49137931034482757,0.4577272074243231,0.4403689880450457,1.569820890469759,0.18548596477777363,0.6549013708993278,0.4643375503476999,92
Text + Audio,0.5431034482758621,0.519036731233847,0.529941220454451,2.2692363360877423,0.30064806282609535,0.8437515111019576,0.2074573774903751,476
