model,accuracy,balanced_accuracy,macro_f1,nll,ece,mean_confidence,mean_uncertainty,feature_dim,privacy_lambda,speaker_accuracy,speaker_balanced_accuracy,speaker_macro_f1,utility_norm,privacy_norm,calibration_norm,adversarial_equilibrium_score,J_emotion,J_privacy,J_calibration,J_uncertainty,J_complexity,J_UVIF_coupled
Adversarial UVIF lambda=1.0,0.5402298850574713,0.5174075081160284,0.5184506772587731,2.2982659837868242,0.3032057651897244,0.8434356502471957,0.20485654218777344,476,1.0,0.646551724137931,0.646551724137931,0.6465488055622074,0.2514032588418714,1.0,1.0,0.6631314664788421,0.48154932274122686,0.646551724137931,0.3032057651897244,0.20485654218777344,1.0,1.209037306877092
Adversarial UVIF lambda=1.25,0.5402298850574713,0.5174075081160284,0.5184506772587731,2.298717838117308,0.30326243877586434,0.8434923238333356,0.20484635279279437,476,1.25,0.6982758620689655,0.6982758620689655,0.6982135630456148,0.2514032588418714,0.6400000000025057,0.9902801714127866,0.5351875007622765,0.48154932274122686,0.6982758620689655,0.30326243877586434,0.20484635279279437,1.0,1.2478567092394421
Adversarial UVIF lambda=0.75,0.5402298850574713,0.5174075081160284,0.5184506772587731,2.2993408832030666,0.30340171964798734,0.8436316047054586,0.2048468445364827,476,0.75,0.7011494252873564,0.7011494252873564,0.7011099365750528,0.2514032588418714,0.6200000000026447,0.966392743516997,0.5234100151831672,0.48154932274122686,0.7011494252873564,0.30340171964798734,0.2048468445364827,1.0,1.2500816204380345
Adversarial UVIF lambda=0.0,0.5344827586206896,0.5321117231353695,0.5389853691696078,2.301742953268514,0.30892742036515475,0.8434101789858444,0.20489886679553873,476,0.0,0.7902298850574713,0.7902298850574713,0.7901865724031418,0.9999999999635448,6.959988141375106e-12,0.018704985369707106,0.4537409970599726,0.4610146308303922,0.7902298850574713,0.30892742036515475,0.20489886679553873,1.0,1.2991305281651808
Adversarial UVIF lambda=0.5,0.5373563218390804,0.5134392541477744,0.5150489162516203,2.298582784353759,0.3059913496026709,0.8433476714417512,0.20494763400153673,476,0.5,0.764367816091954,0.764367816091954,0.7642977500247794,0.1273913079887999,0.18000000000570726,0.5222571068256262,0.22477750996208276,0.4849510837483797,0.764367816091954,0.3059913496026709,0.20494763400153673,1.0,1.302212147418988
Adversarial UVIF lambda=1.5,0.5344827586206896,0.5092375734755055,0.5115544563936351,2.2998854773228334,0.30903648387181687,0.8435192424925065,0.20475128753026978,476,1.5,0.7614942528735632,0.7614942528735633,0.7613977117838999,0.0,0.20000000000556817,1.7150547648725478e-10,0.07000000003624994,0.48844554360636494,0.7614942528735632,0.30903648387181687,0.20475128753026978,1.0,1.3050347327034997
Adversarial UVIF lambda=0.25,0.5344827586206896,0.5097902945639409,0.5119045715769788,2.299612531789115,0.3089891179435573,0.8434718765642469,0.20484686594082527,476,0.25,0.7844827586206896,0.7844827586206897,0.7844667409884801,0.012763526543587062,0.040000000006682024,0.008123514755890238,0.021368289898130933,0.4880954284230212,0.7844827586206896,0.3089891179435573,0.20484686594082527,1.0,1.3219214295484822
