model,macro_f1,balanced_accuracy,accuracy,nll,ece,mean_uncertainty,speaker_accuracy,feature_dim,privacy_gain_vs_simple,macro_f1_delta_vs_simple
Text only,0.3757765530194055,0.3770363032431017,0.41379310344827586,3.2994016879594144,0.4171490573987808,0.237517519436705,0.49712643678160917,384,0.25287356321839083,-0.15416466743504553
Audio only,0.4403689880450457,0.4577272074243231,0.49137931034482757,1.569820890469759,0.18548596477777363,0.4643375503476999,0.8908045977011494,92,-0.1408045977011494,-0.08957223240940532
Simple multimodal fusion,0.529941220454451,0.519036731233847,0.5431034482758621,2.2692363360877423,0.30064806282609535,0.2074573774903751,0.75,476,0.0,0.0
Original UVIF-gated fusion,0.5237891065563856,0.515480070474305,0.5402298850574713,2.3049956283947024,0.30363054772073006,0.2047703507667174,0.7902298850574713,476,-0.04022988505747127,-0.00615211389806547
Calibrated UVIF-gated fusion,0.5389853691696078,0.5321117231353695,0.5344827586206896,2.301744289229772,0.3089276027544559,0.20489878134100542,0.7902298850574713,476,-0.04022988505747127,0.009044148715156797
Adversarial calibrated UVIF lambda=1.0,0.5184506772587731,0.5174075081160284,0.5402298850574713,2.2982659837868242,0.3032057651897244,0.20485654218777344,0.646551724137931,476,0.10344827586206895,-0.011490543195677883
Coupled-selected UVIF lambda=1.0,0.5184506772587731,0.5174075081160284,0.5402298850574713,2.2982659837868242,0.3032057651897244,0.20485654218777344,0.646551724137931,476,0.10344827586206895,-0.011490543195677883
