model,accuracy,balanced_accuracy,macro_f1,nll,ece,mean_confidence,mean_uncertainty,feature_dim,representation,speaker_accuracy,speaker_balanced_accuracy,speaker_macro_f1,utility_term,calibration_term,uncertainty_term,privacy_term,UVIF_equilibrium_score
Simple multimodal fusion,0.5431034482758621,0.519036731233847,0.529941220454451,2.2692363360877423,0.30064806282609535,0.8437515111019576,0.2074573774903751,476,Simple multimodal fusion,0.75,0.75,0.7499483808092238,0.9999999999935134,0.5028897493126976,0.9896480497998784,0.3576642335782738,0.7451848940015345
UVIF-gated fusion,0.5402298850574713,0.515480070474305,0.5237891065563856,2.3049956283947024,0.30363054772073006,0.8438604327782012,0.2047703507667174,476,UVIF-gated fusion,0.7902298850574713,0.7902298850574713,0.7901865724031418,0.9600938788285088,0.49001551517864383,1.0,0.2554744525566356,0.7096316268959661
Audio only,0.49137931034482757,0.4577272074243231,0.4403689880450457,1.569820890469759,0.18548596477777363,0.6549013708993278,0.4643375503476999,92,Audio only,0.8908045977011494,0.8908045977011494,0.8907468605419695,0.4189833902923059,1.0,3.852473895449293e-12,2.5400792580398956e-12,0.3966441866035856
Text only,0.41379310344827586,0.3770363032431017,0.3757765530194055,3.2994016879594144,0.4171490573987808,0.8259808705929298,0.237517519436705,384,Text only,0.49712643678160917,0.4971264367816092,0.49708906230645367,0.0,4.316658142045071e-12,0.8738393420943595,1.0,0.37476786841995113
