bin,conf_low,conf_high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,5,0.0,0.3837292834419136,0.3837292834419136
4,0.4,0.5,6,0.3333333333333333,0.46143714229173655,0.12810380895840323
5,0.5,0.6000000000000001,34,0.38235294117647056,0.550214614962275,0.1678616737858044
6,0.6000000000000001,0.7000000000000001,37,0.4594594594594595,0.6440887474948411,0.18462928803538164
7,0.7000000000000001,0.8,37,0.40540540540540543,0.750281602909452,0.3448761975040466
8,0.8,0.9,43,0.5581395348837209,0.8550926101355172,0.29695307525179626
9,0.9,1.0,186,0.6344086021505376,0.9777971746398805,0.34338857248934285
