bin,conf_low,conf_high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,2,0.0,0.3975124469034547,0.3975124469034547
4,0.4,0.5,2,0.0,0.4940043001741071,0.4940043001741071
5,0.5,0.6000000000000001,15,0.5333333333333333,0.5519533912626868,0.018620057929353506
6,0.6000000000000001,0.7000000000000001,17,0.5294117647058824,0.6463754145449995,0.11696364983911711
7,0.7000000000000001,0.8,15,0.4,0.7554314761778784,0.3554314761778784
8,0.8,0.9,22,0.5909090909090909,0.8480447743922561,0.2571356834831652
9,0.9,1.0,101,0.6039603960396039,0.9795691037828161,0.3756087077432122
